dataset,scale,metric,without_leak_mean,with_leak_mean,delta_mean,delta_ci_low,delta_ci_high,significant,n
mind,small,AUC,0.5685038527738601,0.6364042160915259,0.0679003633176658,0.057964095579285,0.07702454978350613,true,5000
mind,small,MRR,0.29687418269573157,0.34462921290826326,0.04775503021253169,0.03836421248510036,0.05711295839098169,true,5000
mind,small,nDCG@5,0.27678305909719036,0.32368943359693036,0.04690637449973998,0.038161732860770924,0.05557353257459109,true,5000
mind,small,nDCG@10,0.33481114799320427,0.38398787506255566,0.04917672706935137,0.04142098294828155,0.05688447778663349,true,5000
